Date,Open,High,Low,Close,Adj Close,Stock,Year,Month
2017-01-19,119.4,120.09,119.37,119.78,113.83,Apple,2017,1
2017-01-20,120.45,120.45,119.73,120.0,114.04,Apple,2017,1
2017-01-23,120.0,120.81,119.77,120.08,114.12,Apple,2017,1
2017-01-24,119.55,120.1,119.5,119.97,114.01,Apple,2017,1
2017-01-25,120.42,122.1,120.28,121.88,115.83,Apple,2017,1
2017-01-26,121.67,122.44,121.6,121.94,115.89,Apple,2017,1
2017-01-27,122.14,122.35,121.6,121.95,115.9,Apple,2017,1
2017-01-30,120.93,121.63,120.66,121.63,115.59,Apple,2017,1
2017-01-31,121.15,121.39,120.62,121.35,115.33,Apple,2017,1
2017-02-01,127.03,130.49,127.01,128.75,122.36,Apple,2017,2
2017-02-02,127.98,129.39,127.78,128.53,122.15,Apple,2017,2
2017-02-03,128.31,129.19,128.16,129.08,122.67,Apple,2017,2
2017-02-06,129.13,130.5,128.9,130.29,123.82,Apple,2017,2
2017-02-07,130.54,132.09,130.45,131.53,125.0,Apple,2017,2
2017-02-08,131.35,132.22,131.22,132.04,125.48,Apple,2017,2
2017-02-09,131.65,132.44,131.12,132.42,126.39,Apple,2017,2
2017-02-10,132.46,132.94,132.05,132.12,126.1,Apple,2017,2
2017-02-13,133.08,133.82,132.75,133.29,127.22,Apple,2017,2
2017-02-14,133.47,135.09,133.25,135.02,128.87,Apple,2017,2
2017-02-15,135.52,136.27,134.62,135.51,129.34,Apple,2017,2
2017-02-16,135.67,135.9,134.84,135.34,129.18,Apple,2017,2
2017-02-17,135.1,135.83,135.1,135.72,129.54,Apple,2017,2
2017-02-21,136.23,136.75,135.98,136.7,130.47,Apple,2017,2
2017-02-22,136.43,137.12,136.11,137.11,130.86,Apple,2017,2
2017-02-23,137.38,137.48,136.3,136.53,130.31,Apple,2017,2
2017-02-24,135.91,136.66,135.28,136.66,130.43,Apple,2017,2
2017-02-27,137.14,137.44,136.28,136.93,130.69,Apple,2017,2
2017-02-28,137.08,137.44,136.7,136.99,130.75,Apple,2017,2
2017-03-01,137.89,140.15,137.6,139.79,133.42,Apple,2017,3
2017-03-02,140.0,140.28,138.76,138.96,132.63,Apple,2017,3
2017-03-03,138.78,139.83,138.59,139.78,133.41,Apple,2017,3
2017-03-06,139.36,139.77,138.6,139.34,132.99,Apple,2017,3
2017-03-07,139.06,139.98,138.79,139.52,133.16,Apple,2017,3
2017-03-08,138.95,139.8,138.82,139.0,132.67,Apple,2017,3
2017-03-09,138.74,138.79,137.05,138.68,132.36,Apple,2017,3
2017-03-10,139.25,139.36,138.64,139.14,132.8,Apple,2017,3
2017-03-13,138.85,139.43,138.82,139.2,132.86,Apple,2017,3
2017-03-14,139.3,139.65,138.84,138.99,132.66,Apple,2017,3
2017-03-15,139.41,140.75,139.02,140.46,134.06,Apple,2017,3
2017-03-16,140.72,141.02,140.26,140.69,134.28,Apple,2017,3
2017-03-17,141.0,141.0,139.89,139.99,133.61,Apple,2017,3
2017-03-20,140.4,141.5,140.23,141.46,135.02,Apple,2017,3
2017-03-21,142.11,142.8,139.73,139.84,133.47,Apple,2017,3
2017-03-22,139.84,141.6,139.76,141.42,134.98,Apple,2017,3
2017-03-23,141.26,141.58,140.61,140.92,134.5,Apple,2017,3
2017-03-24,141.5,141.74,140.35,140.64,134.23,Apple,2017,3
2017-03-27,139.39,141.22,138.62,140.88,134.46,Apple,2017,3
2017-03-28,140.91,144.04,140.62,143.8,137.25,Apple,2017,3
2017-03-29,143.68,144.49,143.19,144.12,137.55,Apple,2017,3
2017-03-30,144.19,144.5,143.5,143.93,137.37,Apple,2017,3
2017-03-31,143.72,144.27,143.01,143.66,137.12,Apple,2017,3
2017-04-03,143.71,144.12,143.05,143.7,137.15,Apple,2017,4
2017-04-04,143.25,144.89,143.17,144.77,138.18,Apple,2017,4
2017-04-05,144.22,145.46,143.81,144.02,137.46,Apple,2017,4
2017-04-06,144.29,144.52,143.45,143.66,137.12,Apple,2017,4
2017-04-07,143.73,144.18,143.27,143.34,136.81,Apple,2017,4
2017-04-10,143.6,143.88,142.9,143.17,136.65,Apple,2017,4
2017-04-11,142.94,143.35,140.06,141.63,135.18,Apple,2017,4
2017-04-12,141.6,142.15,141.01,141.8,135.34,Apple,2017,4
2017-04-13,141.91,142.38,141.05,141.05,134.62,Apple,2017,4
2017-04-17,141.48,141.88,140.87,141.83,135.37,Apple,2017,4
2017-04-18,141.41,142.04,141.11,141.2,134.77,Apple,2017,4
2017-04-19,141.88,142.0,140.45,140.68,134.27,Apple,2017,4
